LINK,A,B,a0,a1,a2,a3,a4
0,1,117,1.090458488,0,0,0,0.006382199
1,2,87,1.090458488,0,0,0,0.006382199
2,3,74,1.090458488,0,0,0,0.006382199
3,4,233,1.090458488,0,0,0,0.006382199
4,5,165,1.090458488,0,0,0,0.006382199
5,6,213,1.090458488,0,0,0,0.006382199
6,7,253,1.090458488,0,0,0,0.006382199
7,8,411,1,0,0,0,0.045160234
8,9,379,1,0,0,0,0.045160234
9,9,395,1,0,0,0,0.045160234
10,10,338,1,0,0,0,0.045160234
11,10,362,1,0,0,0,0.045160234
12,11,309,1,0,0,0,0.045160234
13,12,275,1,0,0,0,0.045160234
14,13,262,1,0,0,0,0.045160234
15,14,257,1,0,0,0,0.045160234
16,15,254,1,0,0,0,0.045160234
17,16,263,1,0,0,0,0.045160234
18,17,276,1,0,0,0,0.045160234
19,18,322,1,0,0,0,0.045160234
20,18,348,1,0,0,0,0.045160234
21,19,364,1,0,0,0,0.045160234
22,19,380,1,0,0,0,0.045160234
23,20,397,1,0,0,0,0.045160234
24,21,412,1,0,0,0,0.045160234
25,21,413,1,0,0,0,0.045160234
26,22,414,1,0,0,0,0.045160234
27,22,415,1,0,0,0,0.045160234
28,23,416,1,0,0,0,0.045160234
29,24,266,0.149068323,0,0,0,0.000227109
30,24,267,0.149068323,0,0,0,0.000227109
31,25,268,0.149068323,0,0,0,0.000227109
32,25,269,0.149068323,0,0,0,0.000227109
33,26,273,0.149068323,0,0,0,0.000227109
34,26,274,0.149068323,0,0,0,0.000227109
35,27,302,0.149068323,0,0,0,0.000227109
36,27,303,0.149068323,0,0,0,0.000227109
37,28,303,0.149068323,0,0,0,0.000227109
38,28,304,0.149068323,0,0,0,0.000227109
39,29,308,0.149068323,0,0,0,0.000227109
40,29,337,0.149068323,0,0,0,0.000227109
41,30,340,0.149068323,0,0,0,0.000227109
42,30,341,0.149068323,0,0,0,0.000227109
43,31,329,0.149068323,0,0,0,0.000227109
44,31,330,0.149068323,0,0,0,0.000227109
45,32,332,0.149068323,0,0,0,0.000227109
46,32,333,0.149068323,0,0,0,0.000227109
47,33,337,0.149068323,0,0,0,0.000227109
48,33,361,0.149068323,0,0,0,0.000227109
49,34,369,0.149068323,0,0,0,0.000227109
50,34,385,0.149068323,0,0,0,0.000227109
51,35,373,0.149068323,0,0,0,0.000227109
52,35,389,0.149068323,0,0,0,0.000227109
53,36,378,0.149068323,0,0,0,0.000227109
54,36,394,0.149068323,0,0,0,0.000227109
55,37,401,0.149068323,0,0,0,0.000227109
56,37,402,0.149068323,0,0,0,0.000227109
57,38,406,0.149068323,0,0,0,0.000227109
58,38,407,0.149068323,0,0,0,0.000227109
59,39,266,1.459848485,0,0,0,0.065927099
60,39,267,1.459848485,0,0,0,0.065927099
61,40,268,1.320075758,0,0,0,0.05961493
62,40,269,1.320075758,0,0,0,0.05961493
63,41,273,1,0,0,0,0.045160234
64,41,274,1,0,0,0,0.045160234
65,42,302,1,0,0,0,0.045160234
66,42,303,1,0,0,0,0.045160234
67,43,303,1.540151515,0,0,0,0.069553603
68,43,304,1.540151515,0,0,0,0.069553603
69,44,308,1,0,0,0,0.045160234
70,44,337,3,0,0,0,0.135480702
71,45,340,1,0,0,0,0.045160234
72,45,341,1,0,0,0,0.045160234
73,46,329,1,0,0,0,0.045160234
74,46,330,1,0,0,0,0.045160234
75,47,332,0.920075758,0,0,0,0.041550837
76,47,333,0.940151515,0,0,0,0.042457463
77,48,337,1,0,0,0,0.045160234
78,48,361,1,0,0,0,0.045160234
79,49,369,1,0,0,0,0.045160234
80,49,385,1,0,0,0,0.045160234
81,50,373,1,0,0,0,0.045160234
82,50,389,1,0,0,0,0.045160234
83,51,378,1,0,0,0,0.045160234
84,51,394,1,0,0,0,0.045160234
85,52,401,1,0,0,0,0.045160234
86,52,402,1,0,0,0,0.045160234
87,53,406,1.079924242,0,0,0,0.048769632
