LINK,A,B,a0,a1,a2,a3,a4
0,1,547,0,0,0,0,0.0
1,2,548,0,0,0,0,0.0
2,3,549,0,0,0,0,0.0
3,4,550,0,0,0,0,0.0
4,5,551,0,0,0,0,0.0
5,6,552,0,0,0,0,0.0
6,7,553,0,0,0,0,0.0
7,8,554,0,0,0,0,0.0
8,9,555,0,0,0,0,0.0
9,10,556,0,0,0,0,0.0
10,11,557,0,0,0,0,0.0
11,12,558,0,0,0,0,0.0
12,13,559,0,0,0,0,0.0
13,14,560,0,0,0,0,0.0
14,15,561,0,0,0,0,0.0
15,16,562,0,0,0,0,0.0
16,17,563,0,0,0,0,0.0
17,18,564,0,0,0,0,0.0
18,19,565,0,0,0,0,0.0
19,20,566,0,0,0,0,0.0
20,21,567,0,0,0,0,0.0
21,22,568,0,0,0,0,0.0
22,23,569,0,0,0,0,0.0
23,24,570,0,0,0,0,0.0
24,25,571,0,0,0,0,0.0
25,26,572,0,0,0,0,0.0
26,27,573,0,0,0,0,0.0
27,28,574,0,0,0,0,0.0
28,29,575,0,0,0,0,0.0
29,30,576,0,0,0,0,0.0
30,31,577,0,0,0,0,0.0
31,32,578,0,0,0,0,0.0
32,33,579,0,0,0,0,0.0
33,34,580,0,0,0,0,0.0
34,35,581,0,0,0,0,0.0
35,36,582,0,0,0,0,0.0
36,37,583,0,0,0,0,0.0
37,38,584,0,0,0,0,0.0
38,39,585,0,0,0,0,0.0
39,40,586,0,0,0,0,0.0
40,41,587,0,0,0,0,0.0
41,42,588,0,0,0,0,0.0
42,43,589,0,0,0,0,0.0
43,44,590,0,0,0,0,0.0
44,45,591,0,0,0,0,0.0
45,46,592,0,0,0,0,0.0
46,47,593,0,0,0,0,0.0
47,48,594,0,0,0,0,0.0
48,49,595,0,0,0,0,0.0
49,50,596,0,0,0,0,0.0
50,51,597,0,0,0,0,0.0
51,52,598,0,0,0,0,0.0
52,53,599,0,0,0,0,0.0
53,54,600,0,0,0,0,0.0
54,55,601,0,0,0,0,0.0
55,56,602,0,0,0,0,0.0
56,57,603,0,0,0,0,0.0
57,58,604,0,0,0,0,0.0
