node,lat,lon
1.0,42.0158685018,-87.6756890404
2.0,42.0076475629,-87.7003888675
3.0,41.9811578707,-87.6645741182
4.0,41.9674563057,-87.6905089367
5.0,41.9354859876,-87.6522242047
6.0,41.9939459979,-87.7460835477
7.0,41.9638025551,-87.7275586773
8.0,41.9912056849,-87.8041281413
9.0,41.9519278655,-87.8275929771
10.0,41.9418800512,-87.7670784007
11.0,41.8989484811,-87.764608418
12.0,41.9044291071,-87.7275586773
13.0,41.8742856643,-87.7213837206
14.0,41.9327456746,-87.7152087638
15.0,41.9062559824,-87.6806290059
16.0,41.8779394149,-87.6682790923
17.0,41.9044291071,-87.6361693171
18.0,41.8825066032,-87.628759369
19.0,41.8605840993,-87.6238194035
20.0,41.8423153461,-87.7189137378
21.0,41.856016911,-87.670749075
22.0,41.8377481578,-87.6201144295
23.0,41.8249600305,-87.6621041355
24.0,41.8203928422,-87.7152087638
25.0,41.7902493994,-87.7732533575
26.0,41.7829418981,-87.7115037897
27.0,41.7792881474,-87.6583991615
28.0,41.807604715,-87.61146949
29.0,41.7646731449,-87.5991195764
30.0,41.7473178293,-87.7127387811
31.0,41.7354431397,-87.6534591961
32.0,41.7025593839,-87.6781590231
33.0,41.6733293787,-87.6188794381
34.0,41.7116937605,-87.6176444468
35.0,41.7418372033,-87.555894879
36.0,41.6870309436,-87.552189905
37.0,41.985725059,-87.9165123546
38.0,42.1200003952,-88.1943854094
39.0,42.1400960238,-88.0474214382
40.0,42.1400960238,-88.1091710059
41.0,42.096251016,-88.0474214382
42.0,42.096251016,-88.1079360146
43.0,42.1391825861,-87.9276272768
44.0,42.1400960238,-87.9881418532
45.0,42.096251016,-87.9276272768
46.0,42.0944241407,-87.9893768445
47.0,42.1400960238,-87.8090681067
48.0,42.1400960238,-87.8683476918
49.0,42.096251016,-87.8103030981
50.0,42.096251016,-87.8683476918
51.0,42.1373557108,-87.7584334612
52.0,42.0852897641,-87.6991538762
53.0,42.0944241407,-87.7497885217
54.0,42.0551463213,-88.1906804353
55.0,42.0533194459,-88.2524300031
56.0,42.0158685018,-88.1906804353
57.0,42.0158685018,-88.2524300031
58.0,42.0578866342,-88.074591248
59.0,42.0560597589,-88.1326358417
60.0,42.0204356901,-88.074591248
61.0,42.0186088148,-88.1326358417
62.0,42.0588000719,-87.9609720434
63.0,42.0578866342,-88.0177816457
64.0,42.0213491278,-87.9609720434
65.0,42.0204356901,-88.0165466543
66.0,42.0597135096,-87.844882856
67.0,42.0597135096,-87.9029274497
68.0,42.0250028784,-87.844882856
69.0,42.0240894408,-87.9016924583
70.0,42.0588000719,-87.7226187119
71.0,42.0606269472,-87.785603271
72.0,42.0304835044,-87.7250886946
73.0,42.0304835044,-87.7843682796
74.0,42.0597135096,-87.6843339799
75.0,42.0387044434,-87.6843339799
76.0,41.980244433,-87.8782276226
77.0,41.9354859876,-87.9029274497
78.0,41.9309187993,-87.8436478647
79.0,41.9683697434,-87.8251229943
80.0,41.8907275422,-87.8399428906
81.0,41.8898141045,-87.9016924583
82.0,41.8477959721,-87.8399428906
83.0,41.8450556591,-87.8979874843
84.0,41.8916409798,-87.7979531845
85.0,41.8477959721,-87.7769583315
86.0,41.8030375266,-87.8362379165
87.0,41.8012106513,-87.8955175016
88.0,41.7582790812,-87.8362379165
89.0,41.7564522059,-87.8955175016
90.0,41.8149122162,-87.7794283142
91.0,41.7582790812,-87.7769583315
92.0,41.6623681267,-87.980731905
93.0,41.7144340735,-87.8337679338
94.0,41.7126071981,-87.8930475189
95.0,41.6687621904,-87.8325329425
96.0,41.6687621904,-87.8905775361
