tail,head,volume,cost
1,547,4989.13,0.0345068
2,548,6719.41,0.0345068
3,549,10095.5,0.0345068
4,550,9444.62,0.0345068
5,551,17223.8,0.0345068
6,552,6446.03,0.0345068
7,553,9884.28,0.0345068
8,554,9252.3,0.0345068
9,555,6699.45,0.0345068
10,556,13823.7,0.0345068
11,557,10551.1,0.0345068
12,558,6985.78,0.0345068
13,559,9401.48,0.0345068
14,560,14763.7,0.0345068
15,561,8934.72,0.0345068
16,562,10301,0.0345068
17,563,9098.55,0.0345068
18,564,9300.74,0.0345068
19,565,2624.61,0.0345068
20,566,7707.95,0.0345068
21,567,4696.17,0.0345068
22,568,3370.82,0.0345068
23,569,12667.8,0.0345068
24,570,6010.92,0.0345068
25,571,5993.21,0.0345068
26,572,12936.8,0.0345068
27,573,7749.49,0.0345068
28,574,8700.36,0.0345068
29,575,14581.2,0.0345068
30,576,5416.97,0.0345068
31,577,7838.86,0.0345068
32,578,7900.65,0.0345068
33,579,4727.45,0.0345068
34,580,6460.14,0.0345068
35,581,5145.61,0.0345068
36,582,6100.87,0.0345068
37,583,1148.81,0.0345068
38,584,2228.48,0.0345068
39,585,6737.86,0.0345068
40,586,1866.66,0.0345068
41,587,8069.74,0.0345068
42,588,2120.7,0.0345068
43,589,5257.64,0.0345068
44,590,7128.54,0.0345068
45,591,6238.19,0.0345068
46,592,6568.32,0.0345068
47,593,2892.16,0.0345068
48,594,4978.07,0.0345068
49,595,3495.58,0.0345068
50,596,4758,0.0345068
51,597,1577.3,0.0345068
52,598,2041.28,0.0345068
53,599,4665.33,0.0345068
54,600,1259.87,0.0345068
55,601,1778.42,0.0345068
56,602,4297.13,0.0345068
57,603,1646.85,0.0345068
58,604,5962.5,0.0345068
59,605,5225.8,0.0345068
60,606,5148.46,0.0345068
61,607,5264.46,0.0345068
62,608,5472.5,0.0345068
63,609,3718.92,0.0345068
64,610,9104.31,0.0345068
65,611,3468.09,0.0345068
66,612,6193.35,0.0345068
67,613,3858.59,0.0345068
68,614,6526.75,0.0345068
69,615,6270.57,0.0345068
70,616,4480.42,0.0345068
71,617,3979.92,0.0345068
72,618,7296.66,0.0345068
73,619,7675.9,0.0345068
74,620,2642.72,0.0345068
75,621,2685.23,0.0345068
76,622,5958.85,0.0345068
77,623,7998.54,0.0345068
78,624,6831.44,0.0345068
79,625,3838.33,0.0345068
80,626,10315.8,0.0345068
81,627,8352.05,0.0345068
82,628,5765.21,0.0345068
83,629,4294.91,0.0345068
84,630,6438.08,0.0345068
85,631,13283.5,0.0345068
86,632,5293.37,0.0345068
87,633,5977.54,0.0345068
88,634,4579.16,0.0345068
89,635,2370.39,0.0345068
90,636,2212.55,0.0345068
91,637,7079.22,0.0345068
92,638,1746.5,0.0345068
93,639,4363.86,0.0345068
