ratio_routed,tt_non_routed,tt_routed,tt,tt_local,tt_non_local,gas,gas_local,gas_non_local
0.000000000000000000e+00,4.535656308105397017e+01,3.709361559243122741e+01,4.535656308105397017e+01,3.117466848809580782e+01,1.418189459295816235e+01,7.476919930122053302e+02,2.235903081072993928e+02,5.241016849049059374e+02
1.000000000000000021e-02,4.514252481534616379e+01,3.725913984214427188e+01,4.506369096561414267e+01,3.117722346457525262e+01,1.388646750103889005e+01,7.444516387220596698e+02,2.247980551416186472e+02,5.196535835804410226e+02
2.000000000000000042e-02,4.494736434856759644e+01,3.728886914924819251e+01,4.479419444458121546e+01,3.118946364663050730e+01,1.360473079795070817e+01,7.413424962090849704e+02,2.260467535542689177e+02,5.152957426548160811e+02
2.999999999999999889e-02,4.476312795273951650e+01,3.730388731379599676e+01,4.453935073357121155e+01,3.120467001122624495e+01,1.333468072234496660e+01,7.382472604250164068e+02,2.273018481993452724e+02,5.109454122256711344e+02
4.000000000000000083e-02,4.458908685719220699e+01,3.731480685353958648e+01,4.429811565704611098e+01,3.122250688585174316e+01,1.307560877119436782e+01,7.351512217304663181e+02,2.285563921025426168e+02,5.065948296279236729e+02
5.000000000000000278e-02,4.442327275948173337e+01,3.733297981656585307e+01,4.406875811233594220e+01,3.124123725325637579e+01,1.282752085907956641e+01,7.320933572086659069e+02,2.298652714287676702e+02,5.022280857798982652e+02
5.999999999999999778e-02,4.426771636277125310e+01,3.734835349652342273e+01,4.385255459079638030e+01,3.126253239802055361e+01,1.259002219277582668e+01,7.290514621936531512e+02,2.311859817426382619e+02,4.978654804510148892e+02
7.000000000000000666e-02,4.411984206464848057e+01,3.736602288705135066e+01,4.364707472221667217e+01,3.128520440099352484e+01,1.236187032122314733e+01,7.260110736404606087e+02,2.325416100369785113e+02,4.934694636034820974e+02
8.000000000000000167e-02,4.398133390225299166e+01,3.738661132175514012e+01,4.345375609581316922e+01,3.130982868546881548e+01,1.214392741034435375e+01,7.230065764927685450e+02,2.339326687308881390e+02,4.890739077618803776e+02
8.999999999999999667e-02,4.385068227208584091e+01,3.741230479397037101e+01,4.327122829905544421e+01,3.133613984681585052e+01,1.193508845223959369e+01,7.200300678770216791e+02,2.353761449489745701e+02,4.846539229280471091e+02
1.000000000000000056e-01,4.372691150829103179e+01,3.744533849961055694e+01,4.309875420742299212e+01,3.136406765330605140e+01,1.173468655411694073e+01,7.170878770108853359e+02,2.368907304892995001e+02,4.801971465215858643e+02
1.100000000000000006e-01,4.361073675708742314e+01,3.748740605262688774e+01,4.293717037959676475e+01,3.139433832685439540e+01,1.154283205274236934e+01,7.141976057232284347e+02,2.384825618266727929e+02,4.757150438965556418e+02
1.199999999999999956e-01,4.350469090791045090e+01,3.753853870215828437e+01,4.278875264322019234e+01,3.142828258086731807e+01,1.136047006235287427e+01,7.114048529037190747e+02,2.401563463331256685e+02,4.712485065705934062e+02
1.300000000000000044e-01,4.340112770356785887e+01,3.760549783886293085e+01,4.264769582115621205e+01,3.146388017702482642e+01,1.118381564413138562e+01,7.086615756403222122e+02,2.419764618748042437e+02,4.666851137655179400e+02
1.400000000000000133e-01,4.327522498874961343e+01,3.771051644358757216e+01,4.249616579242692893e+01,3.149365977811045170e+01,1.100250601431647723e+01,7.057883593548876888e+02,2.441096104847794095e+02,4.616787488701082793e+02
1.499999999999999944e-01,4.320295581177199296e+01,3.779865682234643032e+01,4.239231096335815607e+01,3.154378226629145132e+01,1.084852869706670475e+01,7.034272791627888637e+02,2.461102372649463064e+02,4.573170418978425573e+02
1.600000000000000033e-01,4.307364892299070647e+01,3.795526833022383784e+01,4.225470802814799498e+01,3.157900984358144925e+01,1.067569818456654573e+01,7.006935189850001962e+02,2.486667127418336918e+02,4.520268062431665044e+02
1.700000000000000122e-01,4.289603960867398769e+01,3.816439343459741451e+01,4.209165975908097579e+01,3.158413703305950193e+01,1.050752272602147386e+01,6.979242833174215548e+02,2.513096798052700933e+02,4.466146035121514615e+02
1.799999999999999933e-01,4.277776661054922158e+01,3.832705203732771793e+01,4.197663798736934382e+01,3.160304436045931809e+01,1.037359362691002573e+01,6.957113017314176204e+02,2.535832153637684883e+02,4.421280863676491322e+02
1.900000000000000022e-01,4.243639218676117508e+01,3.872180529385613568e+01,4.173062067710921497e+01,3.152362386516987058e+01,1.020699681193934438e+01,6.926578766600830477e+02,2.565050804163276439e+02,4.361527962437554038e+02
2.000000000000000111e-01,4.216700285199236475e+01,3.906381820491703394e+01,4.154636592257730854e+01,3.145745942364738923e+01,1.008890649892991931e+01,6.905096468147349924e+02,2.588591928446858219e+02,4.316504539700491705e+02
2.099999999999999922e-01,4.171011814669656559e+01,3.978955580332544884e+01,4.130680005458862780e+01,3.138941918779828555e+01,9.917380866790342253e+00,6.873398594057678110e+02,2.625056145061906818e+02,4.248342448995771292e+02
2.200000000000000011e-01,4.136791202180705795e+01,4.054954822365883160e+01,4.118787198621444645e+01,3.135253561268042333e+01,9.835336373534023124e+00,6.859173398860651787e+02,2.647035247347869813e+02,4.212138151512781974e+02
2.300000000000000100e-01,4.128466934650575837e+01,4.064869094411725570e+01,4.113839431395640389e+01,3.135768353319443236e+01,9.780710780761971535e+00,6.849264837285730891e+02,2.658300264576424183e+02,4.190964572709306708e+02
2.399999999999999911e-01,4.124611160689526201e+01,4.068631748694189554e+01,4.111176101810644212e+01,3.135463397688799958e+01,9.757127041218442542e+00,6.844268355494098159e+02,2.663517800580387984e+02,4.180750554913710175e+02
