node,lat,lon
1.0,34.157785,-118.150564
2.0,34.157824,-118.141509
3.0,34.157768,-118.132440
4.0,34.157812,-118.121451
5.0,34.157885,-118.113187
6.0,34.158286,-118.098463
7.0,34.151567,-118.150519
8.0,34.151660,-118.141447
9.0,34.151644,-118.132383
10.0,34.152109,-118.121383
11.0,34.152240,-118.113171
12.0,34.152364,-118.098514
13.0,34.149623,-118.150524
14.0,34.149531,-118.141464
15.0,34.149580,-118.132415
16.0,34.149521,-118.121372
17.0,34.149548,-118.113190
18.0,34.149804,-118.098611
19.0,34.149647,-118.155569
20.0,34.152340,-118.094259
