ratio_routed,tt_non_routed,tt_routed,tt,tt_local,tt_non_local,gas,gas_local,gas_non_local,flow,flow_local,flow_non_local
0.000000000000000000e+00,3.911177996584288508e+01,2.962700684573773557e+01,3.911177996584288508e+01,9.581752711897529862e-01,3.815360469465313287e+01,4.034846665265310435e+02,7.867561788839426917e+00,3.956171047376915908e+02,4.773250467049358785e+07,5.804438374087640550e+05,4.715206083308482170e+07
1.000000000000000056e-01,3.669178483724352446e+01,2.967659778273304738e+01,3.599026613179248812e+01,1.478003593144204375e+00,3.451226253864828664e+01,3.941863016496702699e+02,1.343261591446874270e+01,3.807536857352015431e+02,4.690305617643679678e+07,1.104157962634292664e+06,4.579889821380250156e+07
2.000000000000000111e-01,3.512502864887518683e+01,2.976020525758782398e+01,3.405206397061773771e+01,1.901059250666434552e+00,3.215100471995130249e+01,3.884028927003046761e+02,1.787611032296517521e+01,3.705267823773394866e+02,4.634224199013334513e+07,1.458466860441956669e+06,4.488377512969139218e+07
3.000000000000000444e-01,3.408088019390503831e+01,2.973319515837880189e+01,3.277657468324716916e+01,2.220310692985975276e+00,3.055626399026119344e+01,3.850321552082111225e+02,2.124644899949383614e+01,3.637857062087172721e+02,4.581997243347193301e+07,1.698918455149478745e+06,4.412105397832245380e+07
4.000000000000000222e-01,3.333176599671316609e+01,2.966237159022742631e+01,3.186400823411888084e+01,2.456271950568696294e+00,2.940773628355018587e+01,3.827007143668974436e+02,2.376181014323971752e+01,3.589389042236577438e+02,4.539273959263763577e+07,1.872743710504907183e+06,4.351999588213273138e+07
5.000000000000000000e-01,3.277475285097184354e+01,2.959373387772980735e+01,3.118424336435083433e+01,2.643726850021896890e+00,2.854051651432893877e+01,3.812147052352580658e+02,2.581569845651242545e+01,3.553990067787456155e+02,4.502810242533425242e+07,2.003935594984896248e+06,4.302416683034935594e+07
6.000000000000000888e-01,3.226563594765433862e+01,2.949857431178450895e+01,3.060539896613243727e+01,2.804594664291749861e+00,2.780080430184068874e+01,3.800358184773528478e+02,2.759246987898038839e+01,3.524433485983724381e+02,4.464240042359786481e+07,2.107246654532506596e+06,4.253515376906535774e+07
7.000000000000000666e-01,3.192305029709879349e+01,2.941922107848813184e+01,3.017036984407133104e+01,2.951622461645931228e+00,2.721874738242539848e+01,3.793764635986572671e+02,2.917550180538113125e+01,3.502009617932761216e+02,4.431087109363290668e+07,2.198620174314470496e+06,4.211225091931843758e+07
8.000000000000000444e-01,3.170072725146636117e+01,2.935326462134596071e+01,2.982275714737004435e+01,3.070394332128273618e+00,2.675236281524177073e+01,3.789658155301558509e+02,3.047091108388006120e+01,3.484949044462757684e+02,4.399959663208532333e+07,2.272856481976344250e+06,4.172674015010897815e+07
9.000000000000000222e-01,3.150399676829654894e+01,2.928719879668102521e+01,2.950887859384258149e+01,3.183162482404163995e+00,2.632571611143841750e+01,3.787798560378502657e+02,3.166336340294440177e+01,3.471164926349058533e+02,4.370958606956256926e+07,2.339877838931737468e+06,4.136970823063082993e+07
1.000000000000000000e+00,3.130726321444369731e+01,2.921200578438654105e+01,2.921200578438654105e+01,3.281456043637318576e+00,2.593054974074922114e+01,3.785975212062015771e+02,3.273711819044798688e+01,3.458604030157536044e+02,4.344548219428101182e+07,2.404294436281712726e+06,4.104118775799930096e+07
