LINK,A,B,a0,a1,a2,a3,a4
0,1,2,6,0,0,0,0.000512
1,1,3,4,0,0,0,0.000512
2,2,1,6,0,0,0,0.000512
3,2,6,5,0,0,0,0.317696
4,3,1,4,0,0,0,0.000512
5,3,4,4,0,0,0,0.001792
6,3,12,4,0,0,0,0.000512
7,4,3,4,0,0,0,0.001792
8,4,5,2,0,0,0,0.000768
9,4,11,6,0,0,0,0.3968
10,5,4,2,0,0,0,0.000768
11,5,6,4,0,0,0,0.256256
12,5,9,5,0,0,0,0.0192
13,6,2,5,0,0,0,0.317696
14,6,5,4,0,0,0,0.256256
15,6,8,2,0,0,0,0.133376
16,7,8,3,0,0,0,0.030464
17,7,18,2,0,0,0,0.000256
18,8,6,2,0,0,0,0.133376
19,8,7,3,0,0,0,0.030464
20,8,9,10,0,0,0,0.590336
21,8,16,5,0,0,0,0.296192
22,9,5,5,0,0,0,0.0192
23,9,8,10,0,0,0,0.590336
24,9,10,3,0,0,0,0.003072
25,10,9,3,0,0,0,0.003072
26,10,11,5,0,0,0,0.0192
27,10,15,6,0,0,0,0.006912
28,10,16,4,0,0,0,0.27648
29,10,17,8,0,0,0,0.49408
30,11,4,6,0,0,0,0.3968
31,11,10,5,0,0,0,0.0192
32,11,12,6,0,0,0,0.3968
33,11,14,4,0,0,0,0.271616
34,12,3,4,0,0,0,0.000512
35,12,11,6,0,0,0,0.3968
36,12,13,3,0,0,0,0.000256
37,13,12,3,0,0,0,0.000256
38,13,24,4,0,0,0,0.228608
39,14,11,4,0,0,0,0.271616
40,14,15,5,0,0,0,0.27776
41,14,23,4,0,0,0,0.26112
42,15,10,6,0,0,0,0.006912
43,15,14,5,0,0,0,0.27776
44,15,19,3,0,0,0,0.00256
45,15,22,3,0,0,0,0.013568
46,16,8,5,0,0,0,0.296192
47,16,10,4,0,0,0,0.27648
48,16,17,2,0,0,0,0.102656
49,16,18,3,0,0,0,0.000768
50,17,10,8,0,0,0,0.49408
51,17,16,2,0,0,0,0.102656
52,17,19,2,0,0,0,0.141824
53,18,7,2,0,0,0,0.000256
54,18,16,3,0,0,0,0.000768
55,18,20,4,0,0,0,0.000512
56,19,15,3,0,0,0,0.00256
57,19,17,2,0,0,0,0.141824
58,19,20,4,0,0,0,0.245248
59,20,18,4,0,0,0,0.000512
60,20,19,4,0,0,0,0.245248
61,20,21,6,0,0,0,0.351488
62,20,22,5,0,0,0,0.28928
63,21,20,6,0,0,0,0.351488
64,21,22,2,0,0,0,0.102656
65,21,24,3,0,0,0,0.20224
66,22,15,3,0,0,0,0.013568
67,22,20,5,0,0,0,0.28928
68,22,21,2,0,0,0,0.102656
69,22,23,4,0,0,0,0.24576
70,23,14,4,0,0,0,0.26112
71,23,22,4,0,0,0,0.24576
72,23,24,2,0,0,0,0.115456
73,24,13,4,0,0,0,0.228608
74,24,21,3,0,0,0,0.20224
75,24,23,2,0,0,0,0.115456
