ratio_routed,tt_non_routed,tt_routed,tt,tt_local,tt_non_local,gas,gas_local,gas_non_local
0.000000000000000000e+00,3.893164509184630617e+01,2.608196484483157462e+01,3.893164509184630617e+01,2.069808450315659687e-01,3.872466424681473995e+01,4.949226094775675051e+02,3.301044878810902805e+00,4.916215645987566063e+02
1.000000000000000056e-01,3.523831601891800602e+01,2.734329376328115302e+01,3.444881379335431149e+01,5.238945135639448969e-01,3.392491927979036603e+01,4.828892169439882878e+02,8.600125785276038215e+00,4.742890911587122673e+02
2.000000000000000111e-01,3.261610004728851919e+01,2.769460844488371265e+01,3.163180172680756286e+01,7.882397916610660582e-01,3.084356193514649647e+01,4.750264058364701896e+02,1.240674332144091352e+01,4.626196625150292903e+02
2.999999999999999889e-01,3.104928796869133478e+01,2.774980877217058151e+01,3.005944420973510489e+01,9.755079634847204639e-01,2.908393624625038498e+01,4.702895426093971309e+02,1.521417580799513125e+01,4.550753668014020263e+02
4.000000000000000222e-01,3.016158914659357038e+01,2.773564248051434333e+01,2.919121048016187814e+01,1.136957825891531382e+00,2.805425265427034631e+01,4.677836337294374971e+02,1.739760736682567810e+01,4.503860263626118012e+02
5.000000000000000000e-01,2.942165020378949691e+01,2.768452061176217782e+01,2.855308540777583914e+01,1.285738878174836675e+00,2.726734652960100291e+01,4.659594513646673590e+02,1.920495789101740769e+01,4.467544934736499727e+02
5.999999999999999778e-01,2.900171298596724156e+01,2.759521180629764459e+01,2.815781227816547982e+01,1.384802592855175485e+00,2.677300968531030279e+01,4.646249352086092017e+02,2.049044696169436719e+01,4.441344882469148274e+02
6.999999999999999556e-01,2.859632907670307489e+01,2.738396185774439573e+01,2.774767202343199202e+01,1.481487598758881585e+00,2.626618442467310999e+01,4.631395440430073904e+02,2.163059855630905304e+01,4.415089454866983374e+02
8.000000000000000444e-01,2.841013523007295660e+01,2.729491637328299447e+01,2.751796014464099116e+01,1.535650778180927434e+00,2.598230936646006484e+01,4.627070611429338101e+02,2.267450228025023762e+01,4.400325588626835724e+02
9.000000000000000222e-01,2.821400658218395563e+01,2.725782119134245463e+01,2.735343973042660082e+01,1.651305054381031923e+00,2.570213467604556712e+01,4.626563431149274948e+02,2.390409278144072402e+01,4.387522503334867565e+02
1.000000000000000000e+00,2.808462781847169865e+01,2.734697365428684535e+01,2.734697365428684535e+01,1.714976878216634804e+00,2.563199677607020988e+01,4.635167584019433207e+02,2.479501529736562659e+01,4.387217431045776834e+02
