O,D,Ton
1589,459801,13480
1589,459316,8320
1589,459158,233960
1589,459133,22000
1589,459128,10400
1589,459127,3200
1589,459063,9560
1589,460022,30000
1589,459694,3600
1589,459957,3040
1589,459693,3400
1589,459432,3560
1589,459409,3600
1589,459580,54520
1589,459576,3880
1589,459550,2800
1589,459498,10960
1589,459498,1520
1589,458930,2520
1590,459127,17600
1590,459550,31800
1590,459983,3480
1590,458891,3520
1591,459225,3920
1591,459813,2800
1591,459801,13000
1591,459791,4200
1591,459304,2520
1591,459316,20240
1591,459133,25920
1591,459127,2400
1591,459007,8360
1591,459040,17800
1591,459755,7840
1591,459354,10920
1591,459270,34800
1591,459232,2200
1591,459332,3800
1591,459004,8760
1591,460022,48240
1591,459694,7840
1591,459691,2880
1591,459580,3440
1591,459471,3680
1591,459664,10400
1591,459661,2120
1591,459576,6680
1591,459596,33680
1591,459550,8200
1591,459545,7840
1591,459983,3600
1591,459671,13840
1591,459655,10680
1591,459599,29400
1591,459541,18840
1591,458930,16400
1488,459173,3000
1488,459133,131240
1488,459127,5160
1488,459009,90000
1488,460033,3000
1488,459414,44640
1488,459512,12200
1488,459503,14880
1488,459511,43200
1488,459500,17960
1488,459484,3880
1488,459521,5960
1488,459526,14960
1488,458930,2880
1089,459133,14120
1089,459009,3600
1089,459270,3520
1487,459813,35280
1487,459181,2364
1487,459176,69420
1487,459790,3888
1487,459173,47664
1487,459133,15960
1487,459326,4080
1487,460064,17936
1487,458970,17600
1487,459957,20840
1487,459688,28440
1487,459677,29280
1487,459425,2400
1487,459414,2920
1487,459431,30800
1487,459580,13400
1487,459521,8220
1487,459526,16280
1487,459395,8800
1487,459686,18200
1487,459961,11028
1487,458933,12200
1487,458890,61760
1490,459766,6760
1490,459845,3440
1490,459197,13628
1490,459801,51432
1490,458992,3320
1490,459791,62400
1490,459314,29120
1490,459127,163920
1490,459065,10400
1490,459745,5040
1490,459743,3440
1490,459747,3948
1490,459354,2200
1490,459270,18280
1490,460024,26680
1490,458970,37680
1490,459691,48024
1490,459992,3720
1490,459677,5080
1490,459231,3408
1490,459409,5800
1490,459418,3120
1490,459580,306680
1490,459569,3480
1490,459587,16320
1490,459502,3600
1490,459503,40240
1490,459490,10560
1490,459497,45960
1490,459497,34120
1490,459480,11240
1490,459508,19480
1490,459661,26520
1490,459576,16680
1490,459488,3560
1490,459556,3880
1490,459490,14040
1490,459490,292840
1490,459497,92720
1490,459498,196240
1490,459983,11280
1490,458891,21000
1490,458890,3400
1489,459801,14960
1489,459158,4248
1489,459133,59280
1489,459127,176880
1489,459073,800
1489,459009,1600
1489,459270,3280
1489,460022,8360
1489,459992,16360
1489,459711,3390
1489,459408,49528
1489,459419,14160
1489,459414,41520
1489,459580,36240
1489,459475,9080
1489,459474,4360
1489,459484,8120
1489,459490,64400
1489,459498,34200
1489,458930,8760
1489,458891,7740
1087,459787,3920
1087,459801,48546
1087,458987,7840
1087,459313,7800
1087,459133,3800
1087,459127,3640
1087,459741,3600
1087,460015,4040
1087,459711,16200
1087,459414,7880
1087,459413,28203
1087,459580,22632
1087,459569,14256
1087,459475,3800
1087,459484,58227
1087,459655,8360
1087,458948,2544
1087,458937,24980
1588,459832,3560
1497,459791,32360
1497,459127,10120
1497,459040,11520
1497,459004,11400
1497,460036,900
1497,459580,34480
1497,459589,68840
1497,459661,25840
1497,459599,27600
1491,459791,3120
1491,459127,840
1491,459057,3840
1491,459580,1800
1491,459589,920
1492,459791,200
1492,459127,520
1492,459395,3720
1084,459791,520
1084,459127,2040
1084,459580,4240
1084,459589,3320
2590,459270,2520
2590,459004,10800
2590,459589,720
2590,459664,127040
2590,459671,2600
2590,459599,3200
2590,458930,2880
1085,459801,87760
1085,459791,32320
1085,459128,9720
1085,459127,1000
1085,459580,657160
1085,459589,173720
1085,459661,2440
1085,459498,13080
1085,459498,9520
2630,459801,7520
2630,459791,600
2630,460036,3306
2630,459580,1480
2630,459589,1680
2386,459047,3520
2386,459017,2520
2386,459056,7880
2386,460036,6992
2386,460006,7900
2386,459703,5976
2386,459409,4000
2386,459580,15040
2386,459550,4160
2386,459604,4120
2386,458934,2200
2386,458891,2520
2368,459206,3960
2368,459888,3640
2368,459766,6800
2368,459851,4000
2368,459813,3920
2368,459853,3920
2368,459191,12040
2368,459181,61080
2368,459787,65760
2368,459810,32840
2368,459781,4000
2368,459801,40160
2368,459791,7960
2368,459791,28520
2368,459316,12000
2368,460118,7480
2368,459288,3800
2368,460113,4040
2368,460116,25280
2368,459133,18120
2368,459127,3400
2368,459065,3800
2368,459063,17560
2368,459064,7760
2368,459009,9000
2368,459741,51328
2368,459745,4360
2368,459722,19960
2368,459354,7800
2368,459270,9440
2368,459742,20560
2368,459326,39600
2368,459333,4400
2368,459276,8160
2368,460015,7920
2368,459992,36028
2368,459677,7760
2368,459631,3800
2368,459430,920
2368,459231,3720
2368,459409,3200
2368,459411,4200
2368,459580,20928
2368,459569,49716
2368,459587,92040
2368,459461,33200
2368,459502,22068
2368,459470,16200
2368,459661,12800
2368,459550,3840
2368,459521,9640
2368,459260,3960
2368,459958,7600
2368,459983,24280
2368,459979,3920
2368,458964,11560
2368,459987,7880
2368,459655,3960
2368,459599,25760
2368,459637,3960
2368,458933,15760
2368,458930,7840
2368,458934,15800
1086,459845,3560
1086,459176,145840
1086,459787,3160
1086,459810,35240
1086,459801,1176812
1086,459791,930440
1086,459316,27720
1086,459314,4040
1086,459160,2920
1086,459136,309280
1086,459133,29600
1086,459128,561560
1086,459127,510960
1086,459065,1600
1086,459063,3600
1086,459049,4040
1086,459040,56520
1086,459741,3840
1086,459740,11480
1086,459743,7440
1086,459722,3880
1086,459354,3840
1086,459270,96760
1086,459345,18080
1086,459004,3360
1086,460022,1884640
1086,458970,19920
1086,459688,15560
1086,459677,11280
1086,459703,3600
1086,459409,3720
1086,459580,4321720
1086,459512,2240
1086,459470,7840
1086,459503,10440
1086,459490,651560
1086,459497,970240
1086,459497,240
1086,459480,7120
1086,459508,635480
1086,459475,4040
1086,459661,914560
1086,459576,18840
1086,459550,14320
1086,459604,3800
1086,459488,19000
1086,459490,351680
1086,459490,216640
1086,459490,659560
1086,459490,737800
1086,459497,642240
1086,459498,958640
1086,459498,1163400
1086,459502,1377120
1086,459395,920
1086,459983,3200
1086,459686,246960
1086,459655,3840
1086,459599,7680
1086,459626,3880
1086,459637,7640
1086,458891,25720
2371,459203,4080
2371,459176,4400
2371,459801,4120
2371,459791,69440
2371,459316,34800
2371,460118,3680
2371,459314,4320
2371,459158,241520
2371,459127,47640
2371,459049,4000
2371,459047,3800
2371,458990,7472
2371,459735,8520
2371,459741,78080
2371,459723,13160
2371,459747,35240
2371,459345,3520
2371,460022,3400
2371,459691,3080
2371,459957,3560
2371,459693,41520
2371,459677,2560
2371,459231,24320
2371,459580,247920
2371,459490,29360
2371,459480,7600
2371,459508,640
2371,459488,3240
2371,459526,1400
2371,459490,11280
2371,459498,41560
2371,459983,2880
2371,459686,31120
2371,459633,3880
2371,458933,11160
2371,458891,3360
2579,459181,5320
2579,459176,9600
2579,459810,33660
2579,459801,9504
2579,459791,12240
2579,458988,3600
2579,459316,20960
2579,459127,86280
2579,459270,19300
2579,459341,3640
2579,459688,3720
2579,459693,7996
2579,458959,4320
2579,459703,3040
2579,459419,7560
2579,459416,3800
2579,459580,30992
2579,459569,6880
2579,459502,4640
2579,459512,67432
2579,459503,3320
2579,459497,152840
2579,459508,43800
2579,459471,3880
2579,459576,19760
2579,459533,15680
2579,459484,23996
2579,459490,9640
2579,459490,95120
2579,459497,960
2579,459498,347600
2579,459686,16000
2579,458933,3960
2595,459176,3280
2595,459158,75440
2595,459127,6840
2595,459693,32200
2595,459580,3800
2595,459471,4480
2595,459558,6920
